,Subcategory,,,,average,Margin
BEDROOM,,,,,,
,Beds,,,,,80%
,Nightstands,,,,,80%
,Dressers & Mirrors,,,,,80%
,Chests,,,,,80%
,Media Chests,,,,,80%
,Headboards,,,,,80%
,Benches,,,,,80%
,Wardrobes & Vanities,,,,,80%
LIVING,,,,,,
,Sofas,,,,,70%
,Love Seats,,,,,70%
,Sectionals,,,,,60%
,Sleepers,,,,,70%
,Accent Chairs,,,,,60%
,Recliners,,,,,70%
,Futons,,,,,
,Ottomans,,,,,60%
,Coffee Tables,,,,,60%
,Side Tables,,,,,60.00%
,Entertainment Consoles,,,,,80.00%
,Cabinets,,,,,80.00%
,Chaises & Benches,,,,,80.00%
,Shelves,,,,,80%
DINING,,,,,,
,Dining Tables,,,,,100%
,Counter Height Tables,,,,,100%
,Chairs & Stools,,,,,100%
,"Buffets, Hutches, Curios",,,,,80%
,Kitchen Islands,,,,,80%
,Servers & Carts,,,,,80%
,Dining Misc.,,,,,80%
YOUTH,,,,,,
,Youth Beds,,,,,80%
,Bunk Beds,,,,,80%
,Loft Beds,,,,,80%
,Trundle Beds,,,,,80%
,Youth Nightstands,,,,,80%
,Youth Dressers & Mirrors,,,,,80%
,Youth Chests,,,,,80%
,Youth Misc.,,,,,80%
HOME OFFICE,,,,,,
,Desks,,,,,80%
,Office Chairs,,,,,80%
,Bookshelves,,,,,80%
,File Cabinets,,,,,80%
OUTDOOR,,,,,,
,Outdoor Seatings,,,,,70%
,Outdoor Tables,,,,,70%
,Outdoor Accessories,,,,,70%
ACCESSORIES,,,,,,
,Lamps,,,,,60%
,Mirrors,,,,,60%
,Rugs,,,,,60%
,Wall D̩cor,,,,,60%